"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4905","Submitting valid credentials in the modal signs the user in","Desktop","2026-08-25","passed","2026-08-25","Desktop login modal (DFS-2467)","","",""
"","6526","slip persists through Rewards tab round-trip","Desktop","2026-08-25","failed","2026-08-25","Slip persistence","","",""
"","31917","Five player contest Submission @smoke","Desktop","2026-08-25","failed","2026-08-25","User Enter Contest","","",""
"","600681","searching a team abbreviation shows that team's players","Desktop","2026-08-25","broken","2026-08-25","Feed search data verification","","",""
"","4075","Collapsed active card shows the pick-badge preview; expanding hides it","Desktop","2026-08-25","passed","2026-08-25","My Entries card redesign — read-only","","",""
"","3088","Home is active on landing and the underline moves to Rewards","Desktop","2026-08-25","passed","2026-08-25","Desktop top nav (DFS-2467)","","",""
"","4612","Track Picks routes to pending and stays active on history","Desktop","2026-08-25","passed","2026-08-25","Desktop top nav (DFS-2467)","","",""
"","2219","password field masks input","Desktop","2026-08-25","passed","2026-08-25","Login - Page Rendering","","",""
"","6159","Verify time period switching updates history data","Desktop","2026-08-25","passed","2026-08-25","User entries","","",""
"","4352","Live entries surface a Live indicator","Desktop","2026-08-25","skipped","2026-08-25","My Entries card redesign — read-only","","",""
"","5902","History entry surfaces a Won / Lost / Cancelled result pill","Desktop","2026-08-25","passed","2026-08-25","My Entries card redesign — read-only","","",""
"","18573","Gibberish query shows the empty state, clearing restores the grid","Desktop","2026-08-25","failed","2026-08-25","Home feed search","","",""
"","32444","For You tab renders (empty hero in single-user envs, cards otherwise)","Desktop","2026-08-25","passed","2026-08-25","Tail Feed","","",""
"","34292","Share toggle OFF — newly-placed contest does NOT appear on the You tab","Desktop","2026-08-25","failed","2026-08-25","Tail Feed","","",""
"","2375","a 'See all' link opens a subcategory listing","Desktop","2026-08-25","passed","2026-08-25","Packs lobby (DFS-2114)","","",""
"","2866","stats selector tabs equal the API stat names for the default league","Desktop","2026-08-25","failed","2026-08-25","Picks grid data verification","","",""
"","2394","Pending Packs row lists 'Open Pack' actions when the user owns open rounds","Desktop","2026-08-25","skipped","2026-08-25","Packs lobby (DFS-2114)","","",""
"","3097","active entry cards render the entries-paged API data","Desktop","2026-08-25","passed","2026-08-25","Active entries data verification","","",""
"","3788","Verify user data renders correctly","Desktop","2026-08-25","passed","2026-08-25","My Settings","","",""
"","2927","login page is accessible via direct URL navigation","Desktop","2026-08-25","passed","2026-08-25","Login - Page Rendering","","",""
"","0","user can login again after logout","Desktop","2026-08-25","skipped","2026-08-25","Login - Logout Flow","","",""
"","4","buy a pack, RIP it, then accept the buyback","Desktop","2026-08-25","skipped","2026-08-25","Packs provider flow (money-moving)","","",""
"","6305","slip persists through hard page reload","Desktop","2026-08-25","failed","2026-08-25","Slip persistence","","",""
"","2283","Switching to the Promotions sub-tab routes to /rewards/promotions","Desktop","2026-08-25","passed","2026-08-25","Partner Rewards (DFS-1602 / DFS-1604)","","",""
